timestamp,temperature_c,minimum_temperature_c,maximum_temperature_c,relative_humidity_pct,city,source,measurement_type
1985-01-01T00:00:00+00:00,7.74,2.59,15.44,76.92,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-02T00:00:00+00:00,5.78,0.1,11.88,84.29,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-03T00:00:00+00:00,4.44,-1.33,11.19,73.4,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-04T00:00:00+00:00,5.84,0.43,12.19,67.52,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-05T00:00:00+00:00,7.44,0.94,12.57,77.51,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-06T00:00:00+00:00,5.59,-1.35,12.67,79.12,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-07T00:00:00+00:00,9.11,3.22,15.25,87.39,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-08T00:00:00+00:00,8.84,2.4,14.36,70.0,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-09T00:00:00+00:00,6.62,1.36,12.5,71.76,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-10T00:00:00+00:00,6.66,-0.26,11.94,77.03,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-11T00:00:00+00:00,7.52,0.54,14.5,71.4,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-12T00:00:00+00:00,7.21,0.3,13.28,85.16,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-13T00:00:00+00:00,8.05,1.81,14.93,77.18,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-14T00:00:00+00:00,6.64,1.5,12.04,74.14,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-15T00:00:00+00:00,7.28,0.78,12.31,71.27,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-16T00:00:00+00:00,7.0,0.64,12.64,60.91,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-17T00:00:00+00:00,9.07,3.21,14.84,76.51,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-18T00:00:00+00:00,10.07,3.67,15.42,77.23,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-19T00:00:00+00:00,6.86,0.34,13.94,62.09,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-20T00:00:00+00:00,7.26,2.1,14.1,71.31,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-21T00:00:00+00:00,9.54,3.01,15.72,84.46,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-22T00:00:00+00:00,8.08,1.78,13.22,73.34,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-23T00:00:00+00:00,4.44,-2.35,11.05,63.46,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-24T00:00:00+00:00,5.81,0.77,12.46,75.38,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-25T00:00:00+00:00,6.16,-0.21,11.71,67.84,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-26T00:00:00+00:00,4.81,-1.25,12.29,74.08,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-27T00:00:00+00:00,9.2,4.18,15.22,63.54,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-28T00:00:00+00:00,7.53,1.47,14.16,77.44,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-29T00:00:00+00:00,8.9,1.91,15.7,66.64,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-30T00:00:00+00:00,7.17,1.24,14.55,62.13,Illustrative City,HeatSafe synthetic generator,synthetic
1985-01-31T00:00:00+00:00,7.1,1.39,13.88,75.59,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-01T00:00:00+00:00,8.59,3.08,14.3,79.28,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-02T00:00:00+00:00,10.43,3.89,16.46,77.5,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-03T00:00:00+00:00,7.93,1.77,14.97,78.97,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-04T00:00:00+00:00,8.27,3.12,13.37,67.97,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-05T00:00:00+00:00,5.73,-0.2,12.77,69.31,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-06T00:00:00+00:00,8.73,3.41,15.66,73.13,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-07T00:00:00+00:00,8.08,1.93,13.95,76.13,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-08T00:00:00+00:00,5.71,-0.88,12.32,73.8,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-09T00:00:00+00:00,5.82,0.03,12.68,67.36,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-10T00:00:00+00:00,9.43,2.49,14.67,64.5,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-11T00:00:00+00:00,8.59,2.85,14.01,73.35,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-12T00:00:00+00:00,8.74,3.47,15.89,65.7,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-13T00:00:00+00:00,7.84,1.26,13.1,69.83,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-14T00:00:00+00:00,9.19,3.31,16.55,78.84,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-15T00:00:00+00:00,8.75,2.22,14.38,65.48,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-16T00:00:00+00:00,8.19,2.46,15.97,64.55,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-17T00:00:00+00:00,8.84,3.17,15.55,65.18,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-18T00:00:00+00:00,10.3,4.95,18.19,72.01,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-19T00:00:00+00:00,10.85,4.96,18.43,55.64,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-20T00:00:00+00:00,10.51,3.58,16.89,87.02,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-21T00:00:00+00:00,12.82,6.59,18.46,70.67,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-22T00:00:00+00:00,8.84,3.74,15.27,72.65,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-23T00:00:00+00:00,13.77,7.64,21.22,63.99,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-24T00:00:00+00:00,12.22,5.93,20.07,73.78,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-25T00:00:00+00:00,9.64,2.77,16.33,66.1,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-26T00:00:00+00:00,13.11,7.69,20.86,75.09,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-27T00:00:00+00:00,10.07,3.83,15.98,75.04,Illustrative City,HeatSafe synthetic generator,synthetic
1985-02-28T00:00:00+00:00,10.06,5.04,15.18,61.69,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-01T00:00:00+00:00,9.69,3.32,15.48,66.5,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-02T00:00:00+00:00,13.87,8.2,21.18,82.45,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-03T00:00:00+00:00,10.78,4.84,18.59,63.08,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-04T00:00:00+00:00,11.6,5.25,19.22,48.23,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-05T00:00:00+00:00,12.15,6.14,17.52,71.51,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-06T00:00:00+00:00,12.8,7.07,20.4,62.47,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-07T00:00:00+00:00,12.61,5.92,18.42,65.73,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-08T00:00:00+00:00,11.05,4.75,16.26,61.45,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-09T00:00:00+00:00,12.15,6.67,17.94,78.98,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-10T00:00:00+00:00,11.86,6.85,17.23,71.97,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-11T00:00:00+00:00,12.99,6.76,20.05,67.81,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-12T00:00:00+00:00,9.02,3.42,14.32,62.51,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-13T00:00:00+00:00,16.48,9.56,24.11,75.22,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-14T00:00:00+00:00,13.18,7.14,20.31,75.04,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-15T00:00:00+00:00,15.2,9.89,22.97,66.26,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-16T00:00:00+00:00,13.7,7.26,21.46,66.4,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-17T00:00:00+00:00,15.57,9.72,23.32,54.21,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-18T00:00:00+00:00,13.4,6.8,20.85,62.88,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-19T00:00:00+00:00,12.43,6.04,17.91,69.64,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-20T00:00:00+00:00,15.32,9.42,20.5,74.66,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-21T00:00:00+00:00,16.3,10.1,24.27,58.68,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-22T00:00:00+00:00,13.4,7.02,19.29,64.22,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-23T00:00:00+00:00,14.11,7.78,20.9,59.07,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-24T00:00:00+00:00,12.76,7.48,18.41,56.17,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-25T00:00:00+00:00,14.49,9.25,20.5,67.53,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-26T00:00:00+00:00,15.06,9.2,20.84,89.37,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-27T00:00:00+00:00,14.35,9.23,20.78,65.12,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-28T00:00:00+00:00,14.73,9.15,20.36,70.05,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-29T00:00:00+00:00,17.2,11.83,22.42,67.31,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-30T00:00:00+00:00,15.36,9.7,23.22,44.81,Illustrative City,HeatSafe synthetic generator,synthetic
1985-03-31T00:00:00+00:00,15.7,8.92,21.74,57.22,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-01T00:00:00+00:00,15.71,10.51,23.14,67.02,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-02T00:00:00+00:00,18.61,11.79,25.94,56.62,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-03T00:00:00+00:00,15.26,8.6,21.21,59.23,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-04T00:00:00+00:00,18.27,12.08,25.67,73.6,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-05T00:00:00+00:00,20.76,14.13,27.94,62.94,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-06T00:00:00+00:00,17.86,10.89,24.37,62.53,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-07T00:00:00+00:00,17.59,10.67,24.33,50.52,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-08T00:00:00+00:00,18.13,11.86,24.8,46.21,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-09T00:00:00+00:00,17.17,11.39,23.91,52.53,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-10T00:00:00+00:00,18.09,11.82,24.11,60.47,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-11T00:00:00+00:00,18.25,12.89,24.28,43.52,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-12T00:00:00+00:00,20.39,15.33,25.92,56.32,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-13T00:00:00+00:00,19.41,14.21,25.18,85.48,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-14T00:00:00+00:00,19.02,12.36,26.82,58.43,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-15T00:00:00+00:00,18.72,12.8,24.21,68.09,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-16T00:00:00+00:00,20.72,13.92,25.85,52.73,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-17T00:00:00+00:00,21.99,15.71,28.03,56.94,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-18T00:00:00+00:00,19.9,13.29,24.91,69.12,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-19T00:00:00+00:00,21.04,14.05,27.85,55.24,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-20T00:00:00+00:00,17.09,11.06,22.34,63.2,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-21T00:00:00+00:00,21.16,14.98,28.97,54.47,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-22T00:00:00+00:00,19.74,14.02,25.54,56.53,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-23T00:00:00+00:00,20.78,14.27,27.35,53.62,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-24T00:00:00+00:00,19.15,12.61,25.65,52.89,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-25T00:00:00+00:00,20.3,14.28,27.57,58.38,Illustrative City,HeatSafe synthetic generator,synthetic
1985-04-26T00:00:00+00:00,20.68,14.05,27.96,48.95,Illustrative City,HeatSafe synthetic generator,synthetic
