latitude,longitude,acquired_at,confidence,frp_mw,source
41.32349,28.89838,2025-06-01T00:00:00+00:00,84.8,17.2,synthetic
41.44479,28.31884,2025-06-01T03:00:00+00:00,82.8,32.5,synthetic
41.13959,28.52304,2025-06-01T06:00:00+00:00,58.4,46.6,synthetic
40.61571,28.67497,2025-06-01T09:00:00+00:00,90.0,49.3,synthetic
41.10808,28.76686,2025-06-01T12:00:00+00:00,86.9,81.0,synthetic
41.30401,28.96598,2025-06-01T15:00:00+00:00,88.8,13.1,synthetic
40.98864,29.35275,2025-06-01T18:00:00+00:00,58.3,64.9,synthetic
41.15338,29.46511,2025-06-01T21:00:00+00:00,83.6,14.8,synthetic
40.69787,29.44246,2025-06-02T00:00:00+00:00,59.6,11.2,synthetic
40.88176,29.02491,2025-06-02T03:00:00+00:00,98.5,68.3,synthetic
41.25571,28.9041,2025-06-02T06:00:00+00:00,78.4,69.2,synthetic
40.66657,28.39884,2025-06-02T09:00:00+00:00,50.5,25.6,synthetic
41.27714,28.73318,2025-06-02T12:00:00+00:00,54.6,23.7,synthetic
41.06406,29.57683,2025-06-02T15:00:00+00:00,89.8,63.3,synthetic
41.19263,28.74073,2025-06-02T18:00:00+00:00,60.5,44.3,synthetic
41.10952,29.67606,2025-06-02T21:00:00+00:00,82.5,75.7,synthetic
40.66665,29.37758,2025-06-03T00:00:00+00:00,82.0,37.6,synthetic
41.00421,29.79226,2025-06-03T03:00:00+00:00,58.7,35.6,synthetic
41.22868,29.47594,2025-06-03T06:00:00+00:00,65.9,61.3,synthetic
40.90233,28.5303,2025-06-03T09:00:00+00:00,96.9,23.6,synthetic
