timestamp_utc,city,country,temperature_c,relative_humidity_pct,pm25_ug_m3,wind_speed_kmh,measurement_type,source_name
2025-06-01T00:00:00+00:00,Istanbul,Türkiye,19.88,70.54,29.19,11.4,synthetic,HeatSafe synthetic generator
2025-06-01T01:00:00+00:00,Istanbul,Türkiye,19.38,64.54,29.69,10.5,synthetic,HeatSafe synthetic generator
2025-06-01T02:00:00+00:00,Istanbul,Türkiye,19.14,72.82,31.58,14.33,synthetic,HeatSafe synthetic generator
2025-06-01T03:00:00+00:00,Istanbul,Türkiye,20.03,72.58,27.86,10.8,synthetic,HeatSafe synthetic generator
2025-06-01T04:00:00+00:00,Istanbul,Türkiye,20.23,77.96,32.55,13.25,synthetic,HeatSafe synthetic generator
2025-06-01T05:00:00+00:00,Istanbul,Türkiye,21.29,63.14,27.65,14.84,synthetic,HeatSafe synthetic generator
2025-06-01T06:00:00+00:00,Istanbul,Türkiye,22.65,67.92,31.82,14.5,synthetic,HeatSafe synthetic generator
2025-06-01T07:00:00+00:00,Istanbul,Türkiye,23.84,62.05,31.34,10.83,synthetic,HeatSafe synthetic generator
2025-06-01T08:00:00+00:00,Istanbul,Türkiye,22.47,62.97,25.85,15.22,synthetic,HeatSafe synthetic generator
2025-06-01T09:00:00+00:00,Istanbul,Türkiye,26.46,58.29,31.94,10.82,synthetic,HeatSafe synthetic generator
2025-06-01T10:00:00+00:00,Istanbul,Türkiye,27.12,61.41,30.0,13.64,synthetic,HeatSafe synthetic generator
2025-06-01T11:00:00+00:00,Istanbul,Türkiye,28.78,63.34,32.83,11.99,synthetic,HeatSafe synthetic generator
2025-06-01T12:00:00+00:00,Istanbul,Türkiye,28.61,57.01,26.98,11.0,synthetic,HeatSafe synthetic generator
2025-06-01T13:00:00+00:00,Istanbul,Türkiye,29.44,71.65,29.44,6.77,synthetic,HeatSafe synthetic generator
2025-06-01T14:00:00+00:00,Istanbul,Türkiye,30.44,66.87,33.74,9.67,synthetic,HeatSafe synthetic generator
2025-06-01T15:00:00+00:00,Istanbul,Türkiye,30.79,59.5,24.38,6.11,synthetic,HeatSafe synthetic generator
2025-06-01T16:00:00+00:00,Istanbul,Türkiye,29.91,53.38,28.86,7.04,synthetic,HeatSafe synthetic generator
2025-06-01T17:00:00+00:00,Istanbul,Türkiye,28.07,65.21,34.19,10.78,synthetic,HeatSafe synthetic generator
2025-06-01T18:00:00+00:00,Istanbul,Türkiye,27.75,59.83,28.45,4.34,synthetic,HeatSafe synthetic generator
2025-06-01T19:00:00+00:00,Istanbul,Türkiye,26.77,61.55,31.02,7.63,synthetic,HeatSafe synthetic generator
2025-06-01T20:00:00+00:00,Istanbul,Türkiye,24.1,64.53,24.85,4.37,synthetic,HeatSafe synthetic generator
2025-06-01T21:00:00+00:00,Istanbul,Türkiye,22.88,69.69,38.44,7.13,synthetic,HeatSafe synthetic generator
2025-06-01T22:00:00+00:00,Istanbul,Türkiye,22.3,69.96,38.23,9.79,synthetic,HeatSafe synthetic generator
2025-06-01T23:00:00+00:00,Istanbul,Türkiye,21.24,65.36,36.5,9.73,synthetic,HeatSafe synthetic generator
2025-06-02T00:00:00+00:00,Istanbul,Türkiye,21.19,71.25,42.32,9.28,synthetic,HeatSafe synthetic generator
2025-06-02T01:00:00+00:00,Istanbul,Türkiye,20.97,72.6,32.91,8.78,synthetic,HeatSafe synthetic generator
2025-06-02T02:00:00+00:00,Istanbul,Türkiye,19.41,79.36,40.06,13.38,synthetic,HeatSafe synthetic generator
2025-06-02T03:00:00+00:00,Istanbul,Türkiye,17.81,75.58,38.2,11.73,synthetic,HeatSafe synthetic generator
2025-06-02T04:00:00+00:00,Istanbul,Türkiye,19.74,71.39,41.94,11.35,synthetic,HeatSafe synthetic generator
2025-06-02T05:00:00+00:00,Istanbul,Türkiye,20.73,77.22,34.83,13.14,synthetic,HeatSafe synthetic generator
2025-06-02T06:00:00+00:00,Istanbul,Türkiye,22.24,62.91,34.01,11.58,synthetic,HeatSafe synthetic generator
2025-06-02T07:00:00+00:00,Istanbul,Türkiye,24.13,67.63,43.54,14.43,synthetic,HeatSafe synthetic generator
2025-06-02T08:00:00+00:00,Istanbul,Türkiye,25.87,59.48,31.97,14.11,synthetic,HeatSafe synthetic generator
2025-06-02T09:00:00+00:00,Istanbul,Türkiye,27.53,55.98,35.62,14.01,synthetic,HeatSafe synthetic generator
2025-06-02T10:00:00+00:00,Istanbul,Türkiye,28.62,66.44,34.55,10.96,synthetic,HeatSafe synthetic generator
2025-06-02T11:00:00+00:00,Istanbul,Türkiye,27.48,62.56,32.67,15.08,synthetic,HeatSafe synthetic generator
2025-06-02T12:00:00+00:00,Istanbul,Türkiye,28.83,62.2,27.12,9.21,synthetic,HeatSafe synthetic generator
2025-06-02T13:00:00+00:00,Istanbul,Türkiye,30.05,64.09,39.71,8.88,synthetic,HeatSafe synthetic generator
2025-06-02T14:00:00+00:00,Istanbul,Türkiye,29.14,62.05,35.51,8.98,synthetic,HeatSafe synthetic generator
2025-06-02T15:00:00+00:00,Istanbul,Türkiye,29.3,65.64,34.72,8.57,synthetic,HeatSafe synthetic generator
2025-06-02T16:00:00+00:00,Istanbul,Türkiye,30.37,63.64,35.04,10.84,synthetic,HeatSafe synthetic generator
2025-06-02T17:00:00+00:00,Istanbul,Türkiye,28.73,60.11,33.47,9.1,synthetic,HeatSafe synthetic generator
2025-06-02T18:00:00+00:00,Istanbul,Türkiye,27.56,65.48,39.15,4.97,synthetic,HeatSafe synthetic generator
2025-06-02T19:00:00+00:00,Istanbul,Türkiye,24.84,65.88,35.39,4.92,synthetic,HeatSafe synthetic generator
2025-06-02T20:00:00+00:00,Istanbul,Türkiye,25.58,69.04,31.26,7.57,synthetic,HeatSafe synthetic generator
2025-06-02T21:00:00+00:00,Istanbul,Türkiye,23.39,60.2,34.82,7.08,synthetic,HeatSafe synthetic generator
2025-06-02T22:00:00+00:00,Istanbul,Türkiye,21.7,71.73,37.82,6.84,synthetic,HeatSafe synthetic generator
2025-06-02T23:00:00+00:00,Istanbul,Türkiye,21.55,75.49,33.92,9.73,synthetic,HeatSafe synthetic generator
2025-06-03T00:00:00+00:00,Istanbul,Türkiye,20.42,82.73,31.08,11.39,synthetic,HeatSafe synthetic generator
2025-06-03T01:00:00+00:00,Istanbul,Türkiye,19.66,71.53,43.28,11.02,synthetic,HeatSafe synthetic generator
2025-06-03T02:00:00+00:00,Istanbul,Türkiye,21.53,70.03,36.64,11.02,synthetic,HeatSafe synthetic generator
2025-06-03T03:00:00+00:00,Istanbul,Türkiye,19.37,72.34,34.62,13.23,synthetic,HeatSafe synthetic generator
2025-06-03T04:00:00+00:00,Istanbul,Türkiye,18.76,81.42,37.27,16.95,synthetic,HeatSafe synthetic generator
2025-06-03T05:00:00+00:00,Istanbul,Türkiye,20.48,71.88,48.13,12.12,synthetic,HeatSafe synthetic generator
2025-06-03T06:00:00+00:00,Istanbul,Türkiye,21.17,66.39,35.89,15.39,synthetic,HeatSafe synthetic generator
2025-06-03T07:00:00+00:00,Istanbul,Türkiye,24.66,66.33,27.48,12.99,synthetic,HeatSafe synthetic generator
2025-06-03T08:00:00+00:00,Istanbul,Türkiye,25.98,68.33,26.45,13.39,synthetic,HeatSafe synthetic generator
2025-06-03T09:00:00+00:00,Istanbul,Türkiye,27.46,75.02,38.08,13.45,synthetic,HeatSafe synthetic generator
2025-06-03T10:00:00+00:00,Istanbul,Türkiye,26.61,58.66,31.81,13.01,synthetic,HeatSafe synthetic generator
2025-06-03T11:00:00+00:00,Istanbul,Türkiye,29.15,59.2,27.02,9.48,synthetic,HeatSafe synthetic generator
2025-06-03T12:00:00+00:00,Istanbul,Türkiye,28.6,63.81,23.4,9.33,synthetic,HeatSafe synthetic generator
2025-06-03T13:00:00+00:00,Istanbul,Türkiye,30.41,67.58,33.73,10.97,synthetic,HeatSafe synthetic generator
2025-06-03T14:00:00+00:00,Istanbul,Türkiye,29.92,56.04,27.71,11.05,synthetic,HeatSafe synthetic generator
2025-06-03T15:00:00+00:00,Istanbul,Türkiye,30.86,62.41,45.17,7.11,synthetic,HeatSafe synthetic generator
2025-06-03T16:00:00+00:00,Istanbul,Türkiye,30.05,62.13,30.73,11.17,synthetic,HeatSafe synthetic generator
2025-06-03T17:00:00+00:00,Istanbul,Türkiye,29.95,54.59,27.96,6.99,synthetic,HeatSafe synthetic generator
2025-06-03T18:00:00+00:00,Istanbul,Türkiye,28.3,56.14,20.75,2.19,synthetic,HeatSafe synthetic generator
2025-06-03T19:00:00+00:00,Istanbul,Türkiye,26.37,63.87,32.91,4.6,synthetic,HeatSafe synthetic generator
2025-06-03T20:00:00+00:00,Istanbul,Türkiye,24.11,55.88,30.67,7.28,synthetic,HeatSafe synthetic generator
2025-06-03T21:00:00+00:00,Istanbul,Türkiye,24.55,71.57,32.32,9.87,synthetic,HeatSafe synthetic generator
2025-06-03T22:00:00+00:00,Istanbul,Türkiye,22.4,65.82,29.37,6.83,synthetic,HeatSafe synthetic generator
2025-06-03T23:00:00+00:00,Istanbul,Türkiye,19.71,71.19,33.6,8.24,synthetic,HeatSafe synthetic generator
2025-06-04T00:00:00+00:00,Istanbul,Türkiye,20.05,73.26,39.79,10.08,synthetic,HeatSafe synthetic generator
2025-06-04T01:00:00+00:00,Istanbul,Türkiye,19.7,69.07,31.39,8.51,synthetic,HeatSafe synthetic generator
2025-06-04T02:00:00+00:00,Istanbul,Türkiye,19.84,72.55,39.71,13.89,synthetic,HeatSafe synthetic generator
2025-06-04T03:00:00+00:00,Istanbul,Türkiye,20.95,68.46,33.78,10.55,synthetic,HeatSafe synthetic generator
2025-06-04T04:00:00+00:00,Istanbul,Türkiye,20.9,73.5,29.08,17.46,synthetic,HeatSafe synthetic generator
2025-06-04T05:00:00+00:00,Istanbul,Türkiye,21.94,60.9,30.99,13.05,synthetic,HeatSafe synthetic generator
2025-06-04T06:00:00+00:00,Istanbul,Türkiye,22.58,71.45,32.76,9.92,synthetic,HeatSafe synthetic generator
2025-06-04T07:00:00+00:00,Istanbul,Türkiye,22.91,71.48,36.19,17.67,synthetic,HeatSafe synthetic generator
2025-06-04T08:00:00+00:00,Istanbul,Türkiye,26.63,55.72,29.9,9.63,synthetic,HeatSafe synthetic generator
2025-06-04T09:00:00+00:00,Istanbul,Türkiye,27.84,65.65,24.52,16.85,synthetic,HeatSafe synthetic generator
2025-06-04T10:00:00+00:00,Istanbul,Türkiye,28.32,53.42,26.98,10.54,synthetic,HeatSafe synthetic generator
2025-06-04T11:00:00+00:00,Istanbul,Türkiye,28.98,59.26,32.53,8.19,synthetic,HeatSafe synthetic generator
2025-06-04T12:00:00+00:00,Istanbul,Türkiye,29.98,69.67,26.11,10.42,synthetic,HeatSafe synthetic generator
2025-06-04T13:00:00+00:00,Istanbul,Türkiye,30.42,56.52,28.5,9.16,synthetic,HeatSafe synthetic generator
2025-06-04T14:00:00+00:00,Istanbul,Türkiye,29.69,68.57,31.86,7.67,synthetic,HeatSafe synthetic generator
2025-06-04T15:00:00+00:00,Istanbul,Türkiye,29.76,56.05,30.26,6.88,synthetic,HeatSafe synthetic generator
2025-06-04T16:00:00+00:00,Istanbul,Türkiye,30.13,59.67,28.49,6.3,synthetic,HeatSafe synthetic generator
2025-06-04T17:00:00+00:00,Istanbul,Türkiye,29.56,60.67,29.37,7.48,synthetic,HeatSafe synthetic generator
2025-06-04T18:00:00+00:00,Istanbul,Türkiye,27.78,58.58,21.55,4.52,synthetic,HeatSafe synthetic generator
2025-06-04T19:00:00+00:00,Istanbul,Türkiye,25.84,68.71,27.44,9.28,synthetic,HeatSafe synthetic generator
2025-06-04T20:00:00+00:00,Istanbul,Türkiye,27.12,66.12,20.57,5.77,synthetic,HeatSafe synthetic generator
2025-06-04T21:00:00+00:00,Istanbul,Türkiye,23.9,60.17,24.06,7.75,synthetic,HeatSafe synthetic generator
2025-06-04T22:00:00+00:00,Istanbul,Türkiye,22.34,65.28,23.09,11.57,synthetic,HeatSafe synthetic generator
2025-06-04T23:00:00+00:00,Istanbul,Türkiye,21.51,66.26,24.67,10.87,synthetic,HeatSafe synthetic generator
2025-06-05T00:00:00+00:00,Istanbul,Türkiye,20.28,73.81,30.76,11.5,synthetic,HeatSafe synthetic generator
2025-06-05T01:00:00+00:00,Istanbul,Türkiye,21.43,69.27,31.05,9.45,synthetic,HeatSafe synthetic generator
2025-06-05T02:00:00+00:00,Istanbul,Türkiye,19.83,78.22,31.84,12.0,synthetic,HeatSafe synthetic generator
2025-06-05T03:00:00+00:00,Istanbul,Türkiye,19.38,74.84,25.0,10.98,synthetic,HeatSafe synthetic generator
2025-06-05T04:00:00+00:00,Istanbul,Türkiye,20.34,72.64,18.3,14.19,synthetic,HeatSafe synthetic generator
2025-06-05T05:00:00+00:00,Istanbul,Türkiye,21.83,67.49,29.46,15.09,synthetic,HeatSafe synthetic generator
2025-06-05T06:00:00+00:00,Istanbul,Türkiye,22.29,65.77,27.48,10.97,synthetic,HeatSafe synthetic generator
2025-06-05T07:00:00+00:00,Istanbul,Türkiye,23.77,64.46,24.48,14.29,synthetic,HeatSafe synthetic generator
2025-06-05T08:00:00+00:00,Istanbul,Türkiye,25.42,71.67,26.75,12.83,synthetic,HeatSafe synthetic generator
2025-06-05T09:00:00+00:00,Istanbul,Türkiye,25.78,67.99,26.87,15.73,synthetic,HeatSafe synthetic generator
2025-06-05T10:00:00+00:00,Istanbul,Türkiye,27.41,63.01,23.12,11.82,synthetic,HeatSafe synthetic generator
2025-06-05T11:00:00+00:00,Istanbul,Türkiye,29.1,53.01,24.01,12.34,synthetic,HeatSafe synthetic generator
2025-06-05T12:00:00+00:00,Istanbul,Türkiye,30.83,71.84,23.99,9.93,synthetic,HeatSafe synthetic generator
2025-06-05T13:00:00+00:00,Istanbul,Türkiye,30.47,69.68,17.67,9.94,synthetic,HeatSafe synthetic generator
2025-06-05T14:00:00+00:00,Istanbul,Türkiye,29.47,46.85,10.67,5.24,synthetic,HeatSafe synthetic generator
2025-06-05T15:00:00+00:00,Istanbul,Türkiye,31.33,55.63,19.92,4.84,synthetic,HeatSafe synthetic generator
2025-06-05T16:00:00+00:00,Istanbul,Türkiye,30.45,55.09,25.85,4.55,synthetic,HeatSafe synthetic generator
2025-06-05T17:00:00+00:00,Istanbul,Türkiye,28.53,62.2,22.34,8.99,synthetic,HeatSafe synthetic generator
2025-06-05T18:00:00+00:00,Istanbul,Türkiye,28.17,56.84,18.56,4.85,synthetic,HeatSafe synthetic generator
2025-06-05T19:00:00+00:00,Istanbul,Türkiye,27.41,66.3,22.6,7.88,synthetic,HeatSafe synthetic generator
2025-06-05T20:00:00+00:00,Istanbul,Türkiye,25.07,65.32,23.47,9.59,synthetic,HeatSafe synthetic generator
2025-06-05T21:00:00+00:00,Istanbul,Türkiye,24.08,65.86,18.62,8.54,synthetic,HeatSafe synthetic generator
2025-06-05T22:00:00+00:00,Istanbul,Türkiye,22.44,70.84,16.37,10.09,synthetic,HeatSafe synthetic generator
2025-06-05T23:00:00+00:00,Istanbul,Türkiye,20.78,66.53,27.07,6.3,synthetic,HeatSafe synthetic generator
2025-06-06T00:00:00+00:00,Istanbul,Türkiye,20.96,71.78,20.1,12.69,synthetic,HeatSafe synthetic generator
2025-06-06T01:00:00+00:00,Istanbul,Türkiye,21.71,62.17,15.85,12.65,synthetic,HeatSafe synthetic generator
2025-06-06T02:00:00+00:00,Istanbul,Türkiye,19.3,70.3,24.16,13.38,synthetic,HeatSafe synthetic generator
2025-06-06T03:00:00+00:00,Istanbul,Türkiye,20.35,72.5,21.06,15.41,synthetic,HeatSafe synthetic generator
2025-06-06T04:00:00+00:00,Istanbul,Türkiye,20.66,73.1,22.25,13.68,synthetic,HeatSafe synthetic generator
2025-06-06T05:00:00+00:00,Istanbul,Türkiye,21.76,69.6,19.35,15.46,synthetic,HeatSafe synthetic generator
2025-06-06T06:00:00+00:00,Istanbul,Türkiye,24.11,70.34,26.51,15.68,synthetic,HeatSafe synthetic generator
2025-06-06T07:00:00+00:00,Istanbul,Türkiye,24.98,69.13,24.14,15.59,synthetic,HeatSafe synthetic generator
2025-06-06T08:00:00+00:00,Istanbul,Türkiye,25.65,61.13,21.39,9.69,synthetic,HeatSafe synthetic generator
2025-06-06T09:00:00+00:00,Istanbul,Türkiye,26.94,66.45,27.59,13.13,synthetic,HeatSafe synthetic generator
2025-06-06T10:00:00+00:00,Istanbul,Türkiye,28.95,62.88,17.69,9.18,synthetic,HeatSafe synthetic generator
2025-06-06T11:00:00+00:00,Istanbul,Türkiye,28.52,54.76,22.33,10.62,synthetic,HeatSafe synthetic generator
2025-06-06T12:00:00+00:00,Istanbul,Türkiye,30.58,60.96,25.57,12.12,synthetic,HeatSafe synthetic generator
2025-06-06T13:00:00+00:00,Istanbul,Türkiye,30.14,58.6,18.72,5.72,synthetic,HeatSafe synthetic generator
2025-06-06T14:00:00+00:00,Istanbul,Türkiye,31.38,65.7,22.67,7.01,synthetic,HeatSafe synthetic generator
2025-06-06T15:00:00+00:00,Istanbul,Türkiye,31.54,48.25,19.11,7.46,synthetic,HeatSafe synthetic generator
2025-06-06T16:00:00+00:00,Istanbul,Türkiye,29.7,67.55,27.19,6.01,synthetic,HeatSafe synthetic generator
2025-06-06T17:00:00+00:00,Istanbul,Türkiye,29.27,59.65,19.36,3.52,synthetic,HeatSafe synthetic generator
2025-06-06T18:00:00+00:00,Istanbul,Türkiye,29.38,68.02,26.79,3.81,synthetic,HeatSafe synthetic generator
2025-06-06T19:00:00+00:00,Istanbul,Türkiye,28.69,74.29,26.02,4.33,synthetic,HeatSafe synthetic generator
2025-06-06T20:00:00+00:00,Istanbul,Türkiye,25.0,68.09,20.17,6.47,synthetic,HeatSafe synthetic generator
2025-06-06T21:00:00+00:00,Istanbul,Türkiye,25.22,60.08,29.96,10.3,synthetic,HeatSafe synthetic generator
2025-06-06T22:00:00+00:00,Istanbul,Türkiye,22.11,62.05,21.42,5.94,synthetic,HeatSafe synthetic generator
2025-06-06T23:00:00+00:00,Istanbul,Türkiye,21.82,57.51,20.63,12.57,synthetic,HeatSafe synthetic generator
2025-06-07T00:00:00+00:00,Istanbul,Türkiye,20.32,70.04,18.86,11.28,synthetic,HeatSafe synthetic generator
2025-06-07T01:00:00+00:00,Istanbul,Türkiye,20.53,81.73,28.71,10.29,synthetic,HeatSafe synthetic generator
2025-06-07T02:00:00+00:00,Istanbul,Türkiye,20.98,69.71,19.67,12.6,synthetic,HeatSafe synthetic generator
2025-06-07T03:00:00+00:00,Istanbul,Türkiye,20.58,72.86,27.47,11.81,synthetic,HeatSafe synthetic generator
2025-06-07T04:00:00+00:00,Istanbul,Türkiye,21.59,80.09,23.51,16.94,synthetic,HeatSafe synthetic generator
2025-06-07T05:00:00+00:00,Istanbul,Türkiye,21.89,66.58,34.44,14.17,synthetic,HeatSafe synthetic generator
2025-06-07T06:00:00+00:00,Istanbul,Türkiye,24.26,73.21,19.84,14.24,synthetic,HeatSafe synthetic generator
2025-06-07T07:00:00+00:00,Istanbul,Türkiye,24.01,60.91,16.58,14.07,synthetic,HeatSafe synthetic generator
