cell_id,latitude,longitude,zone,land_surface_temperature_c,ndvi,impervious_fraction,water_distance_km
cell-000,41.0,29.0,urban,35.33,0.223,0.769,6.5
cell-001,41.003,29.0,urban,37.02,0.3,0.56,0.98
cell-002,41.006,29.0,urban,35.55,0.419,0.669,17.44
cell-003,41.009,29.0,urban,36.99,0.275,0.767,6.04
cell-004,41.012,29.0,urban,36.61,0.248,0.716,13.43
cell-005,41.015,29.0,urban,37.49,0.388,0.811,5.4
cell-006,41.018,29.0,urban,37.83,0.416,0.743,17.82
cell-007,41.021,29.0,urban,37.83,0.316,0.727,13.94
cell-008,41.024,29.0,urban,36.64,0.204,0.749,11.7
cell-009,41.027,29.0,urban,35.73,0.202,0.688,10.16
cell-010,41.03,29.0,urban,39.2,0.216,0.773,8.08
cell-011,41.033,29.0,urban,35.12,0.13,0.842,7.76
cell-012,41.036,29.0,urban,35.1,0.287,0.764,1.04
cell-013,41.039,29.0,urban,36.79,0.419,0.853,17.49
cell-014,41.042,29.0,urban,37.97,0.257,0.762,2.76
cell-015,41.045,29.0,urban,35.46,0.243,0.789,12.71
cell-016,41.048,29.0,urban,35.95,0.291,0.663,4.32
cell-017,41.051,29.0,urban,37.48,0.288,0.804,3.83
cell-018,41.054,29.0,urban,36.26,0.244,0.629,6.02
cell-019,41.057,29.0,urban,37.68,0.215,0.725,1.24
cell-020,41.0,29.003,urban,34.58,0.517,0.661,3.71
cell-021,41.003,29.003,urban,37.54,0.157,0.754,3.32
cell-022,41.006,29.003,urban,37.05,0.43,0.831,19.0
cell-023,41.009,29.003,urban,34.97,0.526,0.762,13.67
cell-024,41.012,29.003,urban,39.3,0.05,0.59,11.73
cell-025,41.015,29.003,urban,35.52,0.151,0.677,15.81
cell-026,41.018,29.003,urban,38.82,0.087,0.896,4.2
cell-027,41.021,29.003,urban,36.76,0.247,0.784,10.97
cell-028,41.024,29.003,urban,38.41,0.05,0.753,13.13
cell-029,41.027,29.003,urban,35.64,0.202,0.744,16.6
cell-030,41.03,29.003,urban,35.08,0.445,0.959,16.04
cell-031,41.033,29.003,urban,37.44,0.114,0.782,3.18
cell-032,41.036,29.003,urban,35.26,0.328,0.711,5.8
cell-033,41.039,29.003,urban,36.6,0.272,0.836,12.68
cell-034,41.042,29.003,urban,34.71,0.303,0.653,8.12
cell-035,41.045,29.003,urban,37.03,0.391,0.828,7.39
cell-036,41.048,29.003,urban,34.88,0.309,0.726,19.55
cell-037,41.051,29.003,urban,38.32,0.05,0.66,10.17
cell-038,41.054,29.003,urban,37.89,0.346,0.776,16.67
cell-039,41.057,29.003,urban,37.67,0.245,0.677,13.93
cell-040,41.0,29.006,urban,37.64,0.288,0.93,0.49
cell-041,41.003,29.006,urban,36.14,0.325,0.645,19.33
cell-042,41.006,29.006,urban,38.16,0.078,0.667,2.99
cell-043,41.009,29.006,urban,37.83,0.242,0.905,7.14
cell-044,41.012,29.006,urban,38.03,0.275,0.608,12.82
cell-045,41.015,29.006,urban,33.78,0.341,0.681,2.3
cell-046,41.018,29.006,urban,36.99,0.21,0.825,9.29
cell-047,41.021,29.006,urban,36.86,0.33,0.61,7.21
cell-048,41.024,29.006,urban,35.95,0.312,0.739,6.66
cell-049,41.027,29.006,urban,36.29,0.46,0.955,19.13
cell-050,41.03,29.006,urban,37.42,0.275,0.792,12.4
